Change date,base rate
Aug-99,5
Sep-99,5.25
Oct-99,5.25
Nov-99,5.5
Dec-99,5.5
Jan-00,5.75
Feb-00,6
Feb-01,5.75
Mar-01,5.75
Apr-01,5.5
May-01,5.25
Jun-01,5.25
Jul-01,5.25
Aug-01,5
Sep-01,4.75
Oct-01,4.5
Nov-01,4
Dec-01,4
Jan-02,4
Feb-02,4
Mar-02,4
Apr-02,4
May-02,4
Jun-02,4
Jul-02,4
Aug-02,4
Sep-02,4
Oct-02,4
Nov-02,4
Dec-02,4
Jan-03,4
Feb-03,3.75
Mar-03,3.75
Apr-03,3.75
May-03,3.75
Jun-03,3.75
Jul-03,3.5
Aug-03,3.5
Sep-03,3.5
Oct-03,3.5
Nov-03,3.75
Dec-03,3.75
Jan-04,3.75
Feb-04,4
Mar-04,4
Apr-04,4
May-04,4.25
Jun-04,4.5
Jul-04,4.5
Aug-04,4.75
Sep-04,4.75
Oct-04,4.75
Nov-04,4.75
Dec-04,4.75
Jan-05,4.75
Feb-05,4.75
Mar-05,4.75
Apr-05,4.75
May-05,4.75
Jun-05,4.75
Jul-05,4.75
Aug-05,4.5
Sep-05,4.5
Oct-05,4.5
Nov-05,4.5
Dec-05,4.5
Jan-06,4.5
Feb-06,4.5
Mar-06,4.5
Apr-06,4.5
May-06,4.5
Jun-06,4.5
Jul-06,4.5
Aug-06,4.75
Sep-06,4.75
Oct-06,4.75
Nov-06,5
Dec-06,5
Jan-07,5.25
Feb-07,5.25
Mar-07,5.25
Apr-07,5.25
May-07,5.5
Jun-07,5.5
Jul-07,5.75
Aug-07,5.75
Sep-07,5.75
Oct-07,5.75
Nov-07,5.75
Dec-07,5.5
Jan-08,5.5
Feb-08,5.25
Mar-08,5.25
Apr-08,5
May-08,5
Jun-08,5
Jul-08,5
Aug-08,5
Sep-08,5
Oct-08,4.5
Nov-08,3
Dec-08,2
Jan-09,1.5
Feb-09,1
Mar-09,0.5
Apr-09,0.5
May-09,0.5
Jun-09,0.5
Jul-09,0.5
Aug-09,0.5
Sep-09,0.5
Oct-09,0.5
Nov-09,0.5
Dec-09,0.5
Jan-10,0.5
Feb-10,0.5
Mar-10,0.5
Apr-10,0.5
May-10,0.5
Jun-10,0.5
Jul-10,0.5
Aug-10,0.5
Sep-10,0.5
Oct-10,0.5
Nov-10,0.5
Dec-10,0.5
Jan-11,0.5
Feb-11,0.5
Mar-11,0.5
Apr-11,0.5
May-11,0.5
Jun-11,0.5
Jul-11,0.5
Aug-11,0.5
Sep-11,0.5
Oct-11,0.5
Nov-11,0.5
Dec-11,0.5
Jan-12,0.5
Feb-12,0.5
Mar-12,0.5
Apr-12,0.5
May-12,0.5
Jun-12,0.5
Jul-12,0.5
Aug-12,0.5
Sep-12,0.5
Oct-12,0.5
Nov-12,0.5
Dec-12,0.5
Jan-13,0.5
Feb-13,0.5
Mar-13,0.5
Apr-13,0.5
May-13,0.5
Jun-13,0.5
Jul-13,0.5
Aug-13,0.5
Sep-13,0.5
Oct-13,0.5
Nov-13,0.5
Dec-13,0.5
Jan-14,0.5
Feb-14,0.5
Mar-14,0.5
Apr-14,0.5
May-14,0.5
Jun-14,0.5
Jul-14,0.5
Aug-14,0.5
Sep-14,0.5
Oct-14,0.5
Nov-14,0.5
Dec-14,0.5
Jan-15,0.5
Feb-15,0.5
Mar-15,0.5
Apr-15,0.5
May-15,0.5
Jun-15,0.5
Jul-15,0.5
Aug-15,0.5
Sep-15,0.5
Oct-15,0.5
Nov-15,0.5
Dec-15,0.5
Jan-16,0.5
Feb-16,0.5
Mar-16,0.5
Apr-16,0.5
May-16,0.5
Jun-16,0.5
Jul-16,0.5
Aug-16,0.25
Sep-16,0.25
Oct-16,0.25
Nov-16,0.25
Dec-16,0.25
Jan-17,0.25
Feb-17,0.25
Mar-17,0.25
Apr-17,0.25
May-17,0.25
Jun-17,0.25
Jul-17,0.25
Aug-17,0.25
Sep-17,0.25
Oct-17,0.25
Nov-17,0.5
Dec-17,0.5
Jan-18,0.5
Feb-18,0.5
Mar-18,0.5
Apr-18,0.5
May-18,0.5
Jun-18,0.5
Jul-18,0.5
Aug-18,0.75
Sep-18,0.75
Oct-18,0.75
Nov-18,0.75
Dec-18,0.75
Jan-19,0.75
Feb-19,0.75
Mar-19,0.75
Apr-19,0.75
May-19,0.75
Jun-19,0.75
Jul-19,0.75
Aug-19,0.75
Sep-19,0.75
Oct-19,0.75
Nov-19,0.75
Dec-19,0.75
Jan-20,0.75
Feb-20,0.75
Mar-20,0.25
Mar-20,0.1
Apr-20,0.1
May-20,0.1
Jun-20,0.1
Jul-20,0.1
Aug-20,0.1
Sep-20,0.1
Oct-20,0.1
Nov-20,0.1
Dec-20,0.1
Jan-21,0.1
Feb-21,0.1
Mar-21,0.1
Apr-21,0.1
May-21,0.1
Jun-21,0.1
